"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"03/04/2009","63","QUINDIO","63130","CALARCA","1"
"03/04/2009","63","QUINDIO","63130","CALARCA","1"
"04/04/2009","63","QUINDIO","63130","CALARCA","1"
"08/04/2009","63","QUINDIO","63130","CALARCA","1"
"08/04/2009","63","QUINDIO","63130","CALARCA","1"
"09/04/2009","63","QUINDIO","63130","CALARCA","1"
"11/04/2009","63","QUINDIO","63130","CALARCA","1"
"17/04/2009","63","QUINDIO","63130","CALARCA","1"
"20/04/2009","63","QUINDIO","63130","CALARCA","1"
"21/04/2009","63","QUINDIO","63130","CALARCA","1"
"25/04/2009","63","QUINDIO","63130","CALARCA","1"
"25/04/2009","63","QUINDIO","63130","CALARCA","1"
"28/04/2009","63","QUINDIO","63130","CALARCA","1"
"28/04/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"01/05/2009","63","QUINDIO","63130","CALARCA","1"
"02/05/2009","63","QUINDIO","63130","CALARCA","1"
"05/05/2009","63","QUINDIO","63130","CALARCA","1"
"12/05/2009","63","QUINDIO","63130","CALARCA","1"
"12/05/2009","63","QUINDIO","63130","CALARCA","1"
"15/05/2009","63","QUINDIO","63130","CALARCA","1"
"16/05/2009","63","QUINDIO","63130","CALARCA","1"
"16/05/2009","63","QUINDIO","63130","CALARCA","1"
"17/05/2009","63","QUINDIO","63130","CALARCA","1"
"17/05/2009","63","QUINDIO","63130","CALARCA","1"
"18/05/2009","63","QUINDIO","63130","CALARCA","1"
"24/05/2009","63","QUINDIO","63130","CALARCA","1"
"02/06/2009","63","QUINDIO","63130","CALARCA","1"
"07/06/2009","63","QUINDIO","63130","CALARCA","1"
"07/06/2009","63","QUINDIO","63130","CALARCA","1"
"13/06/2009","63","QUINDIO","63130","CALARCA","1"
"13/06/2009","63","QUINDIO","63130","CALARCA","1"
"14/06/2009","63","QUINDIO","63130","CALARCA","1"
"04/07/2009","63","QUINDIO","63130","CALARCA","1"
"04/07/2009","63","QUINDIO","63130","CALARCA","1"
"09/07/2009","63","QUINDIO","63130","CALARCA","1"
"11/07/2009","63","QUINDIO","63130","CALARCA","1"
"11/07/2009","63","QUINDIO","63130","CALARCA","1"
"13/07/2009","63","QUINDIO","63130","CALARCA","1"
"18/07/2009","63","QUINDIO","63130","CALARCA","1"
"18/07/2009","63","QUINDIO","63130","CALARCA","1"
"24/07/2009","63","QUINDIO","63130","CALARCA","1"
"25/07/2009","63","QUINDIO","63130","CALARCA","1"
"27/07/2009","63","QUINDIO","63130","CALARCA","1"
"27/07/2009","63","QUINDIO","63130","CALARCA","1"
"28/07/2009","63","QUINDIO","63130","CALARCA","1"
"28/07/2009","63","QUINDIO","63130","CALARCA","1"
"28/07/2009","63","QUINDIO","63130","CALARCA","1"
"29/07/2009","63","QUINDIO","63130","CALARCA","1"
"31/07/2009","63","QUINDIO","63130","CALARCA","1"
"03/08/2009","63","QUINDIO","63130","CALARCA","1"
"06/08/2009","63","QUINDIO","63130","CALARCA","1"
"06/08/2009","63","QUINDIO","63130","CALARCA","1"
"06/08/2009","63","QUINDIO","63130","CALARCA","1"
"06/08/2009","63","QUINDIO","63130","CALARCA","1"
"08/08/2009","63","QUINDIO","63130","CALARCA","1"
"11/08/2009","63","QUINDIO","63130","CALARCA","1"
"14/08/2009","63","QUINDIO","63130","CALARCA","1"
"14/08/2009","63","QUINDIO","63130","CALARCA","1"
"15/08/2009","63","QUINDIO","63130","CALARCA","1"
"15/08/2009","63","QUINDIO","63130","CALARCA","1"
"15/08/2009","63","QUINDIO","63130","CALARCA","1"
"15/08/2009","63","QUINDIO","63130","CALARCA","1"
"17/08/2009","63","QUINDIO","63130","CALARCA","1"
"19/08/2009","63","QUINDIO","63130","CALARCA","1"
"22/08/2009","63","QUINDIO","63130","CALARCA","1"
"22/08/2009","63","QUINDIO","63130","CALARCA","1"
"22/08/2009","63","QUINDIO","63130","CALARCA","1"
"24/08/2009","63","QUINDIO","63130","CALARCA","1"
"24/08/2009","63","QUINDIO","63130","CALARCA","1"
"31/08/2009","63","QUINDIO","63130","CALARCA","1"
